last_name, first_name,name,team,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_gnd_into_dp,b_gnd_into_tp,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,r_run,b_total_sacrifices,b_walkoff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,hp_to_1b,sprint_speed
Pujols, Albert,Albert Pujols,LAD,405395,2021,41,275,296,17,14,15.2,4.7,0.236,0.433,0.284,50,0,2,14,0,5,3,0,2,29,2,0,90.3,12,29.3,9.1,3.9,21.6,26.7,36.2,2.2,39.8,63.6,31.8,58.9,88.6,21.7,47.1,46.1,28.4,25.4,46.1,26.7,19.4,7.8,5.15,22.4
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,38,472,526,15,40,22.4,7.6,0.256,0.386,0.316,75,0,0,21,0,5,0,0,9,48,9,1,91.4,10,32.8,8.3,8.5,22.9,21.5,34.2,3.3,49,69.1,30.3,57.2,81.9,25.8,49.4,32.8,37.2,30,49,25.9,21.5,3.6,5.01,23.9
Rivera, Rene,Rene Rivera,CLE,425784,2021,38,69,78,2,4,37.2,5.1,0.232,0.362,0.282,9,0,0,4,0,2,0,3,0,8,3,0,88.5,13,30.2,9.3,7,27.9,16.3,32.6,7,39.5,65.6,31.8,31.7,72.8,38.9,50.3,48.8,27.9,23.3,53.5,23.3,18.6,4.7,4.78,26
Wainwright, Adam,Adam Wainwright,STL,425794,2021,40,57,74,0,3,33.8,4.1,0.123,0.158,0.135,4,0,0,2,0,0,0,14,0,1,14,0,86.1,4.7,15.2,2.2,4.3,10.9,8.7,28.3,45.7,23.9,70.6,42.5,29.8,75,31.4,56.7,39.1,50,10.9,76.1,10.9,10.9,2.2,,23.3
Molina, Yadier,Yadier Molina,STL,425877,2021,39,440,473,11,24,16.7,5.1,0.252,0.37,0.296,66,0,3,16,0,5,1,0,3,45,3,2,88,15.3,34.1,5.2,7.7,29.1,28,26.9,2.7,31.6,76,38.9,63.3,82.7,24,57.1,43.4,34.3,22.3,42.6,29.1,21.7,6.6,4.92,22.6
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,38,219,247,6,12,17.8,4.9,0.224,0.342,0.291,16,0,0,7,0,11,0,2,3,17,5,0,85.2,14.6,28.9,3.9,5,20.6,31.7,33.9,3.9,27.2,70.2,28.5,59.1,85.7,21.7,49,47.8,31.7,20.6,44.4,25,22.8,7.8,4.92,24.6
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,41,513,584,32,51,21.6,8.7,0.265,0.497,0.332,86,0,3,14,0,7,10,0,9,79,9,1,92.9,11.8,31.8,13.6,8.1,19.7,24.5,31.1,3,52.5,73.8,31,52.5,77.4,30.7,51,36.6,36.4,27,43.4,25.5,22,9.1,4.69,26
Peralta, David,David Peralta,ARI,444482,2021,34,487,538,8,46,17.1,8.6,0.259,0.402,0.325,63,1,2,9,0,3,3,0,2,57,2,1,89.3,5.3,27.2,5,4.5,24.2,19.9,42.6,3.3,41.8,66.6,27,59.6,86.4,21.3,46.5,31.2,40.8,28,54.9,15.6,23.2,6.3,4.39,27.6
Pina, Manny,Manny Pina,MIL,444489,2021,34,180,208,13,22,18.3,10.6,0.189,0.439,0.293,33,0,0,4,0,5,0,0,1,27,1,0,86.5,18.8,32.2,10.5,5.6,18.2,32.2,28,4.9,32.2,62,24.7,47.5,88.1,23.8,42.9,44.8,37.1,18.2,38.5,32.9,18.2,10.5,4.93,25.1
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,35,319,349,4,17,16,4.9,0.288,0.404,0.338,28,0,3,2,0,9,0,2,2,53,4,1,81.7,11.1,36.3,3,4.1,27.7,21.7,33,10.5,21,69.2,35.3,64.2,83.4,21.6,52.2,31.1,38.2,30.7,45.3,20.6,28.8,5.2,4.37,27.4
Jay, Jon,Jon Jay,LAA,445055,2021,36,14,14,0,0,14.3,0,0.357,0.357,0.357,1,0,0,0,0,0,0,0,0,2,0,0,83.2,4,25,0,0,16.7,16.7,66.7,0,8.3,77.8,51.9,85.7,81,14.3,64.8,33.3,25,41.7,83.3,8.3,8.3,0,,25.9
Longoria, Evan,Evan Longoria,SF,446334,2021,36,253,291,13,35,23.4,12,0.261,0.482,0.351,46,1,1,9,0,1,4,0,2,45,2,0,94.3,15.7,34.2,13.4,8.6,24.6,24.1,27.8,0,54.9,64.9,18.5,55.9,80.1,25.1,42.4,35.8,39,25.1,41.2,31.6,21.9,5.3,4.7,26.1
Lobaton, Jose,Jose Lobaton,CHC,446653,2021,37,11,13,0,2,38.5,15.4,0,0,0.154,0,0,0,0,0,0,0,0,0,1,0,0,90.4,2.4,33.3,0,0,33.3,16.7,50,0,50,75,24,33.3,62.5,43.3,52.6,33.3,16.7,50,66.7,16.7,16.7,0,,
Hill, Rich,Rich Hill,BOS,448179,2021,41,24,26,0,0,38.5,0,0.125,0.125,0.115,0,0,0,2,0,0,0,2,0,0,2,0,68.3,-24.9,18.8,0,0,6.3,0,37.5,56.3,0,80.7,46.3,42.1,58.7,36.9,66.3,25,18.8,56.3,87.5,0,6.3,6.3,,25.1
Morton, Charlie,Charlie Morton,ATL,450203,2021,38,55,62,0,0,50,0,0.127,0.145,0.113,1,0,0,0,0,0,0,7,0,5,7,0,80.8,3.7,25.8,0,3.2,22.6,16.1,29,29,6.5,53.2,35.3,23.3,67.2,40.2,46,25.8,35.5,38.7,58.1,19.4,16.1,6.5,,21.4
Fowler, Dexter,Dexter Fowler,LAA,451594,2021,35,20,21,0,1,28.6,4.8,0.25,0.25,0.286,1,0,1,0,0,0,0,0,0,3,0,0,86.7,23.8,42.9,0,21.4,28.6,28.6,21.4,0,42.9,81,31.4,45.5,76.5,31.1,58.4,42.9,21.4,35.7,35.7,42.9,14.3,7.1,,
Lester, Jon,Jon Lester,STL,452657,2021,37,48,51,1,2,47.1,3.9,0.167,0.271,0.196,3,0,0,0,0,0,0,1,0,3,1,0,86,0.5,40,8,4,32,12,28,16,40,56.3,18.2,31.3,73.2,34.5,40.7,20,60,20,56,12,24,8,,
Cabrera, Asdrubal,Asdrubal Cabrera,ARI,452678,2021,36,309,352,7,36,22.7,10.2,0.23,0.366,0.313,42,0,1,8,0,3,1,0,4,34,4,1,87.8,14.5,30,6,3.9,24.5,30.9,30.9,3.9,30.9,68.4,28.2,55.7,82.1,25.3,48.3,46.4,32.2,21.5,42.5,27.9,21.5,8.2,4.79,24.9
LeBlanc, Wade,Wade LeBlanc,STL,453281,2021,37,11,13,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,77.5,1,0,0,0,0,20,60,20,0,50,50,66.7,100,11.8,50,30,40,30,80,0,0,20,,
