last_name, first_name,name,team,player_id,year,Age,AB,PA,HR%,K%,BB%,AVG,SLG,OBP,RBI/PA,CSSB%,SB%,DPTP%,HBP%,IBB%,SacBunt%,SacFly%,R/PA,Sac%,Walkoff,AvgEV(MPH),AvgLA(°),SweetSpot%,Barrel%,SolidContact%,Flare/Burner%,Under%,Topped%,Poor/Weak%,HardHit%,ZoneSwing%,OutofZoneSwing%,OutofZoneContact%,InZoneContact%,Whiff%,Swing%,Pull%,StraightAway%,Oppo%,GB%,FB%,LD%,Popup%,HPto1B,SprintSpeed
Pujols, Albert,Albert Pujols,LAD,405395,2021,41,275,296,0.061818182,15.2,4.7,0.236,0.433,0.284,0.168918919,0.023791397,0.023791397,0.050909091,0.016891892,0.638297872,0,1,0.097972973,0.006756757,0,90.3,12,29.3,9.1,3.9,21.6,26.7,36.2,2.2,39.8,63.6,31.8,58.9,88.6,21.7,47.1,46.1,28.4,25.4,46.1,26.7,19.4,7.8,5.15,22.4
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,38,472,526,0.031779661,22.4,7.6,0.256,0.386,0.316,0.142585551,0,0,0.044491525,0.009505703,0,0,1,0.091254753,0.017110266,1,91.4,10,32.8,8.3,8.5,22.9,21.5,34.2,3.3,49,69.1,30.3,57.2,81.9,25.8,49.4,32.8,37.2,30,49,25.9,21.5,3.6,5.01,23.9
Rivera, Rene,Rene Rivera,CLE,425784,2021,38,69,78,0.028985507,37.2,5.1,0.232,0.362,0.282,0.115384615,0,0,0.057971014,0.025641026,0,1,0,0.102564103,0.038461538,0,88.5,13,30.2,9.3,7,27.9,16.3,32.6,7,39.5,65.6,31.8,31.7,72.8,38.9,50.3,48.8,27.9,23.3,53.5,23.3,18.6,4.7,4.78,26
Wainwright, Adam,Adam Wainwright,STL,425794,2021,40,57,74,0,33.8,4.1,0.123,0.158,0.135,0.054054054,0,0,0.035087719,0,0,1,0,0.013513514,0.189189189,0,86.1,4.7,15.2,2.2,4.3,10.9,8.7,28.3,45.7,23.9,70.6,42.5,29.8,75,31.4,56.7,39.1,50,10.9,76.1,10.9,10.9,2.2,5.22,23.3
Molina, Yadier,Yadier Molina,STL,425877,2021,39,440,473,0.025,16.7,5.1,0.252,0.37,0.296,0.139534884,0.021427347,0.021427347,0.036363636,0.010570825,0.196078431,0,1,0.095137421,0.006342495,2,88,15.3,34.1,5.2,7.7,29.1,28,26.9,2.7,31.6,76,38.9,63.3,82.7,24,57.1,43.4,34.3,22.3,42.6,29.1,21.7,6.6,4.92,22.6
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,38,219,247,0.02739726,17.8,4.9,0.224,0.342,0.291,0.064777328,0,0,0.03196347,0.044534413,0,0.4,0.6,0.068825911,0.020242915,0,85.2,14.6,28.9,3.9,5,20.6,31.7,33.9,3.9,27.2,70.2,28.5,59.1,85.7,21.7,49,47.8,31.7,20.6,44.4,25,22.8,7.8,4.92,24.6
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,41,513,584,0.062378168,21.6,8.7,0.265,0.497,0.332,0.147260274,0.01547285,0.01547285,0.027290448,0.011986301,1.149425287,0,1,0.135273973,0.015410959,1,92.9,11.8,31.8,13.6,8.1,19.7,24.5,31.1,3,52.5,73.8,31,52.5,77.4,30.7,51,36.6,36.4,27,43.4,25.5,22,9.1,4.69,26
Peralta, David,David Peralta,ARI,444482,2021,34,487,538,0.016427105,17.1,8.6,0.259,0.402,0.325,0.117100372,0.017157564,0.011438376,0.018480493,0.005576208,0.348837209,0,1,0.105947955,0.003717472,1,89.3,5.3,27.2,5,4.5,24.2,19.9,42.6,3.3,41.8,66.6,27,59.6,86.4,21.3,46.5,31.2,40.8,28,54.9,15.6,23.2,6.3,4.39,27.6
Pina, Manny,Manny Pina,MIL,444489,2021,34,180,208,0.072222222,18.3,10.6,0.189,0.439,0.293,0.158653846,0,0,0.022222222,0.024038462,0,0,1,0.129807692,0.004807692,0,86.5,18.8,32.2,10.5,5.6,18.2,32.2,28,4.9,32.2,62,24.7,47.5,88.1,23.8,42.9,44.8,37.1,18.2,38.5,32.9,18.2,10.5,4.93,25.1
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,35,319,349,0.012539185,16,4.9,0.288,0.404,0.338,0.080229226,0.025431919,0.025431919,0.006269592,0.025787966,0,0.5,0.5,0.151862464,0.011461318,1,81.7,11.1,36.3,3,4.1,27.7,21.7,33,10.5,21,69.2,35.3,64.2,83.4,21.6,52.2,31.1,38.2,30.7,45.3,20.6,28.8,5.2,4.37,27.4
