last_name,first_name,name,team,player_id,year,AB,PA,BB.,AVG,SLG,OBP,CSSB.,SB.,HBP.,SacBunt.,SacFly.,SweetSpot.,Barrel.,SolidContact.,Flare.Burner.,Under.,Topped.,Poor.Weak.,HardHit.,OutofZoneContact.,InZoneContact.,Whiff.,StraightAway.,Popup.,SprintSpeed
Pujols, Albert,Albert Pujols,LAD,405395,2021,0.294141015,0.232875316,-0.696563323,0.386090672,0.669425715,0.139357846,-0.305578167,-0.168777394,0.424561032,-0.702738134,1.1501875,-0.17318428,0.563281868,-0.379868725,-0.018827465,0.274133799,0.313659667,-0.587171785,0.47508123,0.536417348,1.1062055,-0.74179467,-1.000202452,0.211458405,-2.472228364
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,1.34853872,1.327031209,-0.000360761,0.650034983,0.342718161,0.497798406,-0.629532178,-0.57571644,-0.091314563,-0.702738134,1.1501875,0.21822197,0.408288041,0.801524063,0.154276067,-0.269846439,0.11963518,-0.492467797,1.203273836,0.417966528,0.413534767,-0.261497344,-0.018934977,-0.682529111,-1.616591881
Rivera, Rene,Rene Rivera,CLE,425784,2021,-0.808427144,-0.804194183,-0.600535383,0.333301809,0.175888772,0.116955311,-0.629532178,-0.57571644,1.035629163,1.74447806,-1.024238431,-0.072536958,0.602030324,0.416287284,0.820058883,-0.813826676,-0.035584409,-0.173918017,0.451335819,-1.358795763,-0.527256827,1.273111184,-1.055956286,-0.448389523,-0.418700804
Wainwright, Adam,Adam Wainwright,STL,425794,2021,-0.872654416,-0.823222982,-0.840605232,-1.105194689,-1.242161037,-1.529631012,-0.629532178,-0.57571644,-0.755223947,1.74447806,-1.024238431,-1.749992314,-0.773539887,-0.277138918,-1.44360269,-1.608874715,-0.452737055,3.157940484,-0.783425557,-1.491181972,-0.299812706,0.394518515,1.408363169,-0.98052495,-1.958846474
Molina, Yadier,Yadier Molina,STL,425877,2021,1.177265997,1.074899634,-0.600535383,0.597246121,0.231498568,0.273773056,-0.3377681,-0.209213198,-0.016922959,-0.702738134,1.1501875,0.363601434,-0.192313037,0.596064447,0.979846758,0.410128858,-0.588554195,-0.544124518,-0.173960006,0.842995939,0.49624172,-0.472359585,-0.342307213,-0.043966599,-2.3581435
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,-0.005586252,-0.000227462,-0.648549353,0.227724085,0.036864281,0.217766718,-0.629532178,-0.57571644,2.355205098,0.276148343,0.280417127,-0.217916423,-0.444178005,-0.097361754,-0.151984028,0.797191719,0.090531507,-0.440811076,-0.522226035,0.550352738,0.806392795,-0.74179467,-0.632227149,0.211458405,-1.217294855
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,1.567981898,1.602948782,0.263716073,0.768809923,1.114304087,0.677018686,-0.418847122,-0.311061665,0.081938514,-0.702738134,1.1501875,0.106391613,1.435122142,0.698794255,-0.271824935,0.043988314,-0.181102774,-0.518296157,1.480303632,0.090484851,-0.051691846,0.312516533,-0.108141111,0.488168827,-0.418700804
Peralta, David,David Peralta,ARI,444482,2021,1.42882281,1.384117604,0.239709088,0.68962663,0.453937754,0.598609814,-0.395907323,-0.380069172,-0.365763344,-0.702738134,1.1501875,-0.40802803,-0.231061494,-0.225774014,0.327379599,-0.437224973,0.934538023,-0.492467797,0.63338397,0.585191215,0.878761379,-0.788652946,0.382492627,-0.10782285,0.493978112
Pina, Manny,Manny Pina,MIL,444489,2021,-0.214324884,-0.185758244,0.719848786,-0.234178461,0.711133063,0.240169253,-0.629532178,-0.57571644,0.923700852,-0.702738134,1.1501875,0.151123756,0.834521064,0.056732957,-0.471559779,0.849497511,-0.481840728,-0.354716541,-0.126469184,-0.257899912,1.054513655,-0.495788723,-0.030085744,0.786164666,-0.932082694
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,0.52964101,0.485006891,-0.648549353,1.072345881,0.467840203,0.744226291,-0.283240106,-0.140717148,1.045891933,0.520869963,0.062974534,0.60962822,-0.61854606,-0.328503821,0.79342757,-0.248924122,0.003220488,0.127412855,-1.012964531,0.905705197,0.568610304,-0.753509239,0.092572691,-0.341962438,0.379893247
Jay, Jon,Jon Jay,LAA,445055,2021,-1.102802138,-1.108654954,-1.824891613,1.982953756,0.141132649,0.957050374,-0.629532178,-0.57571644,-0.755223947,-0.702738134,-1.024238431,-0.654054815,-1.19977291,-1.38148435,-0.671294624,-0.771982042,3.272533085,-0.776579762,-2.018186933,2.403759677,0.320489444,-1.60867277,-1.379328522,-1.448804125,-0.475743236
Longoria, Evan,Evan Longoria,SF,446334,2021,0.176391017,0.209089318,1.055946575,0.716021061,1.010035718,0.889842769,-0.362911814,-0.40825712,-0.515212717,-0.702738134,1.1501875,0.37478447,1.396373686,0.827206515,0.380642224,0.00214368,-0.501243176,-0.776579762,1.670266921,0.32738649,0.227444122,-0.343499327,0.181778825,-0.320677021,-0.361658372
Lobaton, Jose,Jose Lobaton,CHC,446653,2021,-1.118858956,-1.113412153,1.872184062,-2.728452204,-2.340454516,-1.31680693,-0.629532178,-0.57571644,-0.755223947,-0.702738134,-1.024238431,0.274137149,-1.19977291,-1.38148435,1.539104323,-0.771982042,1.652428623,-0.776579762,1.282425206,-1.247312638,-1.592108851,1.788552217,-2.304842164,-1.448804125,-0.002291049
Hill, Rich,Rich Hill,BOS,448179,2021,-1.049279412,-1.051568559,-1.824891613,-1.078800257,-1.471551447,-1.753656363,-0.629532178,-0.57571644,-0.755223947,1.74447806,-1.024238431,-1.347403029,-1.19977291,-1.38148435,-2.05612288,-2.518995496,0.439775583,4.070542554,-2.675143306,-0.634155456,-1.984966879,1.038819806,-2.070676062,-0.10782285,-0.932082694
Morton, Charlie,Charlie Morton,ATL,450203,2021,-0.883358961,-0.880309376,-1.824891613,-1.052405826,-1.332526956,-1.776058898,-0.629532178,-0.57571644,-0.755223947,1.74447806,-1.024238431,-0.564590529,-1.19977291,-0.559645889,0.114329098,-0.834748993,-0.384828485,1.720161751,-2.160659399,-1.944082164,-1.1062055,1.42540058,-0.208498012,-0.065252016,-3.042652686
