"last_name","first_name","name","team","player_id","year","Age","HR.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","HBP.","IBB.","SacBunt.","SacFly.","Sac.","Walkoff","SweetSpot.","Barrel.","SolidContact.","Flare.Burner.","Under.","Topped.","Poor.Weak.","HardHit.","HPto1B","SprintSpeed"
"Pujols"," Albert","Albert Pujols","LAD",405395,2021,3.403414045,1.448620258,-0.696563323,0.386090672,0.669425715,0.139357846,1.513055525,-0.305578167,-0.168777394,1.837624796,0.424561032,2.785909476,-0.702738134,1.1501875,-0.347773351,-0.460692573,-0.17318428,0.563281868,-0.379868725,-0.018827465,0.274133799,0.313659667,-0.587171785,0.47508123,1.919224817,-2.472228364
"Cabrera"," Miguel","Miguel Cabrera","DET",408234,2021,2.580478872,0.189086535,-0.000360761,0.650034983,0.342718161,0.497798406,0.995918349,-0.629532178,-0.57571644,1.470909608,-0.091314563,-0.540844416,-0.702738134,1.1501875,-0.113795347,1.137539481,0.21822197,0.408288041,0.801524063,0.154276067,-0.269846439,0.11963518,-0.492467797,1.203273836,1.458395016,-1.616591881
"Rivera"," Rene","Rene Rivera","CLE",425784,2021,2.580478872,0.071925933,-0.600535383,0.333301809,0.175888772,0.116955311,0.46174379,-0.629532178,-0.57571644,2.241160096,1.035629163,-0.540844416,1.74447806,-1.024238431,0.368720099,-0.460692573,-0.072536958,0.602030324,0.416287284,0.820058883,-0.813826676,-0.035584409,-0.173918017,0.451335819,0.701317485,-0.418700804
"Wainwright"," Adam","Adam Wainwright","STL",425794,2021,3.129102321,-1.143454263,-0.840605232,-1.105194689,-1.242161037,-1.529631012,-0.742671578,-0.629532178,-0.57571644,0.93355347,-0.755223947,-0.540844416,1.74447806,-1.024238431,3.775000517,-0.460692573,-1.749992314,-0.773539887,-0.277138918,-1.44360269,-1.608874715,-0.452737055,3.157940484,-0.783425557,2.149639718,-1.958846474
"Molina"," Yadier","Yadier Molina","STL",425877,2021,2.854790597,-0.095188835,-0.600535383,0.597246121,0.231498568,0.273773056,0.936009061,-0.3377681,-0.209213198,1.006462442,-0.016922959,0.481099589,-0.702738134,1.1501875,-0.35713522,2.735771535,0.363601434,-0.192313037,0.596064447,0.979846758,0.410128858,-0.588554195,-0.544124518,-0.173960006,1.162147286,-2.3581435
"Suzuki"," Kurt","Kurt Suzuki","LAA",435559,2021,2.580478872,0.005329757,-0.648549353,0.227724085,0.036864281,0.217766718,-0.532086907,-0.629532178,-0.57571644,0.755026352,2.355205098,-0.540844416,0.276148343,0.280417127,-0.043000898,-0.460692573,-0.217916423,-0.444178005,-0.097361754,-0.151984028,0.797191719,0.090531507,-0.440811076,-0.522226035,1.162147286,-1.217294855
"Cruz Jr."," Nelson","Nelson Cruz Jr.","TB",443558,2021,3.403414045,1.472100817,0.263716073,0.768809923,1.114304087,0.677018686,1.087721002,-0.418847122,-0.311061665,0.487998613,0.081938514,5.449861827,-0.702738134,1.1501875,-0.15219783,1.137539481,0.106391613,1.435122142,0.698794255,-0.271824935,0.043988314,-0.181102774,-0.518296157,1.480303632,0.405069755,-0.418700804
"Peralta"," David","David Peralta","ARI",444482,2021,1.483231974,-0.454655613,0.239709088,0.68962663,0.453937754,0.598609814,0.495437989,-0.395907323,-0.380069172,-0.015423448,-0.365763344,1.277265269,-0.702738134,1.1501875,-0.416457875,1.137539481,-0.40802803,-0.231061494,-0.225774014,0.327379599,-0.437224973,0.934538023,-0.492467797,0.63338397,-0.582422676,0.493978112
"Pina"," Manny","Manny Pina","MIL",444489,2021,1.483231974,1.884868076,0.719848786,-0.234178461,0.711133063,0.240169253,1.311469049,-0.629532178,-0.57571644,0.198387965,0.923700852,-0.540844416,-0.702738134,1.1501875,-0.391820093,-0.460692573,0.151123756,0.834521064,0.056732957,-0.471559779,0.849497511,-0.481840728,-0.354716541,-0.126469184,1.195063701,-0.932082694
"Escobar"," Alcides","Alcides Escobar","WSH",444876,2021,1.757543699,-0.617678497,-0.648549353,1.072345881,0.467840203,0.744226291,-0.22864107,-0.283240106,-0.140717148,-0.71318376,1.045891933,-0.540844416,0.520869963,0.062974534,-0.241455406,1.137539481,0.60962822,-0.61854606,-0.328503821,0.79342757,-0.248924122,0.003220488,0.127412855,-1.012964531,-0.648255505,0.379893247
