"last_name","first_name","name","team","player_id","year","HR.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","SacBunt.","SweetSpot.","Barrel.","HPto1B","SprintSpeed"
"Pujols"," Albert","Albert Pujols","LAD",405395,2021,1.448620258,-0.696563323,0.386090672,0.669425715,0.139357846,1.513055525,-0.305578167,-0.168777394,1.837624796,-0.702738134,-0.17318428,0.563281868,1.919224817,-2.472228364
"Cabrera"," Miguel","Miguel Cabrera","DET",408234,2021,0.189086535,-0.000360761,0.650034983,0.342718161,0.497798406,0.995918349,-0.629532178,-0.57571644,1.470909608,-0.702738134,0.21822197,0.408288041,1.458395016,-1.616591881
"Rivera"," Rene","Rene Rivera","CLE",425784,2021,0.071925933,-0.600535383,0.333301809,0.175888772,0.116955311,0.46174379,-0.629532178,-0.57571644,2.241160096,1.74447806,-0.072536958,0.602030324,0.701317485,-0.418700804
"Wainwright"," Adam","Adam Wainwright","STL",425794,2021,-1.143454263,-0.840605232,-1.105194689,-1.242161037,-1.529631012,-0.742671578,-0.629532178,-0.57571644,0.93355347,1.74447806,-1.749992314,-0.773539887,2.149639718,-1.958846474
"Molina"," Yadier","Yadier Molina","STL",425877,2021,-0.095188835,-0.600535383,0.597246121,0.231498568,0.273773056,0.936009061,-0.3377681,-0.209213198,1.006462442,-0.702738134,0.363601434,-0.192313037,1.162147286,-2.3581435
"Suzuki"," Kurt","Kurt Suzuki","LAA",435559,2021,0.005329757,-0.648549353,0.227724085,0.036864281,0.217766718,-0.532086907,-0.629532178,-0.57571644,0.755026352,0.276148343,-0.217916423,-0.444178005,1.162147286,-1.217294855
"Cruz Jr."," Nelson","Nelson Cruz Jr.","TB",443558,2021,1.472100817,0.263716073,0.768809923,1.114304087,0.677018686,1.087721002,-0.418847122,-0.311061665,0.487998613,-0.702738134,0.106391613,1.435122142,0.405069755,-0.418700804
"Peralta"," David","David Peralta","ARI",444482,2021,-0.454655613,0.239709088,0.68962663,0.453937754,0.598609814,0.495437989,-0.395907323,-0.380069172,-0.015423448,-0.702738134,-0.40802803,-0.231061494,-0.582422676,0.493978112
"Pina"," Manny","Manny Pina","MIL",444489,2021,1.884868076,0.719848786,-0.234178461,0.711133063,0.240169253,1.311469049,-0.629532178,-0.57571644,0.198387965,-0.702738134,0.151123756,0.834521064,1.195063701,-0.932082694
"Escobar"," Alcides","Alcides Escobar","WSH",444876,2021,-0.617678497,-0.648549353,1.072345881,0.467840203,0.744226291,-0.22864107,-0.283240106,-0.140717148,-0.71318376,0.520869963,0.60962822,-0.61854606,-0.648255505,0.379893247
"Jay"," Jon","Jon Jay","LAA",445055,2021,-1.143454263,-1.824891613,1.982953756,0.141132649,0.957050374,-0.401469167,-0.629532178,-0.57571644,-1.071443357,-0.702738134,-0.654054815,-1.19977291,0.405069755,-0.475743236
"Longoria"," Evan","Evan Longoria","SF",446334,2021,1.011083367,1.055946575,0.716021061,1.010035718,0.889842769,1.300113419,-0.362911814,-0.40825712,0.961290624,-0.702738134,0.37478447,1.396373686,0.43798617,-0.361658372
"Lobaton"," Jose","Jose Lobaton","CHC",446653,2021,-1.143454263,1.872184062,-2.728452204,-2.340454516,-1.31680693,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.702738134,0.274137149,-1.19977291,0.010072783,-0.002291049
"Hill"," Rich","Rich Hill","BOS",448179,2021,-1.143454263,-1.824891613,-1.078800257,-1.471551447,-1.753656363,-1.804190212,-0.629532178,-0.57571644,3.690424128,1.74447806,-1.347403029,-1.19977291,0.898815971,-0.932082694
"Morton"," Charlie","Charlie Morton","ATL",450203,2021,-1.143454263,-1.824891613,-1.052405826,-1.332526956,-1.776058898,-1.487446753,-0.629532178,-0.57571644,-1.071443357,1.74447806,-0.564590529,-1.19977291,3.66379478,-3.042652686
"Fowler"," Dexter","Dexter Fowler","LAA",451594,2021,-1.143454263,-0.672556338,0.57085169,-0.602648378,0.161760381,-0.869042835,1.637606529,2.272179336,-1.071443357,-0.702738134,1.347708576,-1.19977291,0.010072783,-0.002291049
"Lester"," Jon","Jon Lester","STL",452657,2021,-0.269899753,-0.888619202,-0.524517203,-0.456672662,-0.846353695,-0.649008176,-0.629532178,-0.57571644,-1.071443357,1.74447806,1.023400541,0.350165356,0.010072783,-0.002291049
