last_name,first_name,name,team,player_id,year,HR.,SLG,OBP,SB.,Sac.,SweetSpot.,HPto1B,SprintSpeed
Pujols, Albert,Albert Pujols,LAD,405395,2021,1.448620258,0.669425715,0.139357846,-0.168777394,-0.347773351,-0.17318428,1.919224817,-2.472228364
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,0.189086535,0.342718161,0.497798406,-0.57571644,-0.113795347,0.21822197,1.458395016,-1.616591881
Rivera, Rene,Rene Rivera,CLE,425784,2021,0.071925933,0.175888772,0.116955311,-0.57571644,0.368720099,-0.072536958,0.701317485,-0.418700804
Wainwright, Adam,Adam Wainwright,STL,425794,2021,-1.143454263,-1.242161037,-1.529631012,-0.57571644,3.775000517,-1.749992314,2.149639718,-1.958846474
Molina, Yadier,Yadier Molina,STL,425877,2021,-0.095188835,0.231498568,0.273773056,-0.209213198,-0.35713522,0.363601434,1.162147286,-2.3581435
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,0.005329757,0.036864281,0.217766718,-0.57571644,-0.043000898,-0.217916423,1.162147286,-1.217294855
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,1.472100817,1.114304087,0.677018686,-0.311061665,-0.15219783,0.106391613,0.405069755,-0.418700804
Peralta, David,David Peralta,ARI,444482,2021,-0.454655613,0.453937754,0.598609814,-0.380069172,-0.416457875,-0.40802803,-0.582422676,0.493978112
Pina, Manny,Manny Pina,MIL,444489,2021,1.884868076,0.711133063,0.240169253,-0.57571644,-0.391820093,0.151123756,1.195063701,-0.932082694
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,-0.617678497,0.467840203,0.744226291,-0.140717148,-0.241455406,0.60962822,-0.648255505,0.379893247
Jay, Jon,Jon Jay,LAA,445055,2021,-1.143454263,0.141132649,0.957050374,-0.57571644,-0.500468685,-0.654054815,0.405069755,-0.475743236
Longoria, Evan,Evan Longoria,SF,446334,2021,1.011083367,1.010035718,0.889842769,-0.40825712,-0.345149731,0.37478447,0.43798617,-0.361658372
Lobaton, Jose,Jose Lobaton,CHC,446653,2021,-1.143454263,-2.340454516,-1.31680693,-0.57571644,-0.500468685,0.274137149,0.010072783,-0.002291049
Hill, Rich,Rich Hill,BOS,448179,2021,-1.143454263,-1.471551447,-1.753656363,-0.57571644,1.237908906,-1.347403029,0.898815971,-0.932082694
Morton, Charlie,Charlie Morton,ATL,450203,2021,-1.143454263,-1.332526956,-1.776058898,-0.57571644,2.051021007,-0.564590529,3.66379478,-3.042652686
Fowler, Dexter,Dexter Fowler,LAA,451594,2021,-1.143454263,-0.602648378,0.161760381,2.272179336,-0.500468685,1.347708576,0.010072783,-0.002291049
Lester, Jon,Jon Lester,STL,452657,2021,-0.269899753,-0.456672662,-0.846353695,-0.57571644,-0.057352832,1.023400541,0.010072783,-0.002291049
