last_name,first_name,name,team,player_id,year,PC1,PC2,PC3,PC4,PC5,cluster
Pujols, Albert,Albert Pujols,LAD,405395,2021,-1.197864556,0.678801046,-1.511285812,0.652981995,-0.976412933,3
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,-2.042755037,0.340035035,-1.959818707,-1.23886028,-0.605318146,2
Rivera, Rene,Rene Rivera,CLE,425784,2021,1.154391854,-1.577631963,-0.472833685,-0.687656893,1.770316121,4
Wainwright, Adam,Adam Wainwright,STL,425794,2021,5.361046303,0.456709053,-1.182065202,-1.287465407,0.222330649,6
Molina, Yadier,Yadier Molina,STL,425877,2021,-1.747467976,0.78960475,-1.662770445,0.330421468,-0.21848357,3
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,-0.263639964,0.655939532,-0.919487811,1.67794643,-0.442898975,3
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,-2.823234739,-0.971730237,-1.199471641,-1.316548629,-1.453227992,2
Peralta, David,David Peralta,ARI,444482,2021,-2.063277389,1.721609534,-0.852090452,-0.947952462,-1.228114818,3
Pina, Manny,Manny Pina,MIL,444489,2021,-1.182578547,-0.693290972,-1.177749975,1.299234197,-0.988331704,3
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,-1.022055756,1.746824475,-0.128912564,0.252340857,0.834166527,3
Jay, Jon,Jon Jay,LAA,445055,2021,1.079297382,4.12685062,-0.744693243,0.771320016,0.868815898,3
Longoria, Evan,Evan Longoria,SF,446334,2021,-2.749885981,-0.744698427,-1.221360041,-0.808363722,0.229863067,2
Lobaton, Jose,Jose Lobaton,CHC,446653,2021,3.122660168,-1.698681487,-0.332201619,-0.624219683,1.013716216,6
Hill, Rich,Rich Hill,BOS,448179,2021,6.937385006,0.312428937,-0.454806181,-0.777779451,-0.171932128,6
Morton, Charlie,Charlie Morton,ATL,450203,2021,5.491111664,-0.443014079,-1.270113995,0.027511653,0.930275443,6
Fowler, Dexter,Dexter Fowler,LAA,451594,2021,-0.918450856,-1.84806771,2.713714633,1.078531874,2.857847409,2
Lester, Jon,Jon Lester,STL,452657,2021,2.100877967,-0.521311117,-0.590981546,-1.023096949,2.267546125,4
Cabrera, Asdrubal,Asdrubal Cabrera,ARI,452678,2021,-1.259605971,0.263756149,-1.236384808,0.709753836,-0.768590031,3
LeBlanc, Wade,Wade LeBlanc,STL,453281,2021,6.079619947,3.784775469,-0.080774766,3.421837896,-3.826402334,6
Scherzer, Max,Max Scherzer,NYM,453286,2021,6.738053271,0.561078674,-1.502047045,-1.239189543,-1.433186765,6
Arrieta, Jake,Jake Arrieta,SD,453562,2021,5.403339889,-2.792260212,0.215754484,-0.493403053,0.90010187,6
Blackmon, Charlie,Charlie Blackmon,COL,453568,2021,-2.7972331,1.54807145,-0.819573277,-0.70193319,-0.704039733,3
Frazier, Todd,Todd Frazier,PIT,453943,2021,1.662719771,0.48193626,-0.634221212,3.355630451,-1.90581776,4
Maldonado, Martin,Martin Maldonado,HOU,455117,2021,-0.79663525,-0.582796695,-1.688600676,0.440700594,-1.012873152,3
Chirinos, Robinson,Robinson Chirinos,CHC,455139,2021,-0.399359363,-2.07703628,-0.73725445,1.321568227,1.542413938,4
Price, David,David Price,LAD,456034,2021,2.615104741,1.631250431,-0.565014348,-0.522859564,1.110171792,3
Cueto, Johnny,Johnny Cueto,SF,456501,2021,5.477508886,2.236565368,3.007946757,0.20927078,-1.642758612,5
Cain, Lorenzo,Lorenzo Cain,MIL,456715,2021,-1.68680438,1.163612236,2.249774018,-0.614233277,-0.572532956,2
Solano, Donovan,Donovan Solano,SF,456781,2021,-2.143828904,1.118629583,-0.892874238,-0.152753801,0.835885457,3
McCutchen, Andrew,Andrew McCutchen,PHI,457705,2021,-2.802179068,-0.473866269,-0.147695874,-0.773702621,-1.128267797,2
Upton, Justin,Justin Upton,LAA,457708,2021,-1.591340917,-1.168378841,-0.144551122,-0.437474418,-1.107301993,2
Maybin, Cameron,Cameron Maybin,NYM,457727,2021,3.353498518,-1.072529997,4.196828601,1.967012875,-2.837967077,5
Turner, Justin,Justin Turner,LAD,457759,2021,-3.783046429,0.757911246,-1.391652904,0.153040209,-0.53287875,3
Posey III, Buster,Buster Posey III,SF,457763,2021,-2.801185397,0.969315258,-2.045610793,-1.173838115,0.595848489,3
Bruce, Jay,Jay Bruce,NYY,457803,2021,2.017691932,-0.630303104,-1.316859556,-0.068157718,2.319457824,4
Happ, J.A.,J.A. Happ,STL,457918,2021,4.953949796,1.218721247,-1.05383465,1.506744264,-2.312805199,6
Votto, Joey,Joey Votto,CIN,458015,2021,-3.821939207,-1.670456589,-1.779030587,-1.602693437,0.019459947,2
Gardner, Brett,Brett Gardner,NYY,458731,2021,-1.628675995,1.325351556,-0.065291282,0.579480803,-0.655678388,3
Joyce, Matt,Matt Joyce,PHI,459964,2021,0.785242633,-1.183787636,-0.826019285,0.80690384,-1.520149687,4
Butera, Drew,Drew Butera,LAA,460077,2021,3.093135115,-0.358135644,-0.251637176,1.92493897,1.738919025,4
Romine, Andrew,Andrew Romine,CHC,461865,2021,1.378641773,1.420256115,0.839543214,0.425810553,1.426618089,2
Andrus, Elvis,Elvis Andrus,OAK,462101,2021,-1.594584254,2.225538726,0.595477838,-0.310826563,-0.11095844,3
Sandoval, Pablo,Pablo Sandoval,ATL,467055,2021,-0.258287452,-1.560907825,-1.467846844,1.187772396,0.475320152,4
Ramos, Wilson,Wilson Ramos,DET,467092,2021,-0.333818331,-0.11019696,-1.753254478,-0.347697195,-0.168256598,3
Santana, Carlos,Carlos Santana,KC,467793,2021,-2.282389558,0.857099444,-1.644452728,-0.496829401,-1.790578826,3
Parra, Gerardo,Gerardo Parra,WSH,467827,2021,-0.089951842,0.570405809,0.181110066,1.00325422,1.550909989,3
Carrasco, Carlos,Carlos Carrasco,NYM,471911,2021,8.722352688,0.985971377,-0.165629482,-2.109159846,-0.644478974,6
Anderson, Brett,Brett Anderson,MIL,474463,2021,6.53982505,-0.645078474,0.02224645,0.355183306,-1.036903482,6
