last_name,first_name,name,team,player_id,year,HR.,BB.,AVG,SLG,SacBunt.,HPto1B,SprintSpeed,cluster
Pujols, Albert,Albert Pujols,LAD,405395,2021,1.448620258,-0.696563323,0.386090672,0.669425715,-0.702738134,1.919224817,-2.472228364,7
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,0.189086535,-0.000360761,0.650034983,0.342718161,-0.702738134,1.458395016,-1.616591881,9
Rivera, Rene,Rene Rivera,CLE,425784,2021,0.071925933,-0.600535383,0.333301809,0.175888772,1.74447806,0.701317485,-0.418700804,7
Wainwright, Adam,Adam Wainwright,STL,425794,2021,-1.143454263,-0.840605232,-1.105194689,-1.242161037,1.74447806,2.149639718,-1.958846474,5
Molina, Yadier,Yadier Molina,STL,425877,2021,-0.095188835,-0.600535383,0.597246121,0.231498568,-0.702738134,1.162147286,-2.3581435,7
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,0.005329757,-0.648549353,0.227724085,0.036864281,0.276148343,1.162147286,-1.217294855,9
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,1.472100817,0.263716073,0.768809923,1.114304087,-0.702738134,0.405069755,-0.418700804,1
Peralta, David,David Peralta,ARI,444482,2021,-0.454655613,0.239709088,0.68962663,0.453937754,-0.702738134,-0.582422676,0.493978112,2
Pina, Manny,Manny Pina,MIL,444489,2021,1.884868076,0.719848786,-0.234178461,0.711133063,-0.702738134,1.195063701,-0.932082694,1
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,-0.617678497,-0.648549353,1.072345881,0.467840203,0.520869963,-0.648255505,0.379893247,9
Jay, Jon,Jon Jay,LAA,445055,2021,-1.143454263,-1.824891613,1.982953756,0.141132649,-0.702738134,0.405069755,-0.475743236,9
Longoria, Evan,Evan Longoria,SF,446334,2021,1.011083367,1.055946575,0.716021061,1.010035718,-0.702738134,0.43798617,-0.361658372,1
Lobaton, Jose,Jose Lobaton,CHC,446653,2021,-1.143454263,1.872184062,-2.728452204,-2.340454516,-0.702738134,0.010072783,-0.002291049,8
Hill, Rich,Rich Hill,BOS,448179,2021,-1.143454263,-1.824891613,-1.078800257,-1.471551447,1.74447806,0.898815971,-0.932082694,7
Morton, Charlie,Charlie Morton,ATL,450203,2021,-1.143454263,-1.824891613,-1.052405826,-1.332526956,1.74447806,3.66379478,-3.042652686,5
Fowler, Dexter,Dexter Fowler,LAA,451594,2021,-1.143454263,-0.672556338,0.57085169,-0.602648378,-0.702738134,0.010072783,-0.002291049,9
Lester, Jon,Jon Lester,STL,452657,2021,-0.269899753,-0.888619202,-0.524517203,-0.456672662,1.74447806,0.010072783,-0.002291049,9
Cabrera, Asdrubal,Asdrubal Cabrera,ARI,452678,2021,-0.193569719,0.623820847,0.306907378,0.20369367,-0.702738134,0.734233899,-1.046167558,9
LeBlanc, Wade,Wade LeBlanc,STL,453281,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,1.74447806,0.010072783,-0.002291049,8
Scherzer, Max,Max Scherzer,NYM,453286,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,1.132674011,4.025875338,-3.270822415,5
Arrieta, Jake,Jake Arrieta,SD,453562,2021,-1.143454263,-0.216423625,-1.01281418,-1.436795324,1.74447806,0.010072783,-0.002291049,8
Blackmon, Charlie,Charlie Blackmon,COL,453568,2021,-0.082952265,0.407757983,0.834796001,0.516498775,-0.702738134,-0.779921163,0.551020544,2
Frazier, Todd,Todd Frazier,PIT,453943,2021,-1.143454263,-0.024367746,-1.593491665,-1.548014917,-0.702738134,0.767150313,-1.445464584,8
Maldonado, Martin,Martin Maldonado,HOU,455117,2021,0.205520024,0.815876726,-0.458531125,-0.25508715,-0.702738134,1.557144259,-1.84476161,7
Chirinos, Robinson,Robinson Chirinos,CHC,455139,2021,1.017917764,0.095667179,0.267315731,0.815401431,1.74447806,1.096314457,-1.103209991,9
Price, David,David Price,LAD,456034,2021,-1.143454263,-1.824891613,0.795204354,-0.02569674,0.928739329,0.010072783,-0.002291049,9
Cueto, Johnny,Johnny Cueto,SF,456501,2021,-1.143454263,0.119674164,-1.81784433,-1.860820022,1.74447806,1.622977088,-1.559549448,7
Cain, Lorenzo,Lorenzo Cain,MIL,456715,2021,0.161778969,0.359744013,0.663232199,0.44698653,-0.702738134,-0.615339091,1.121444866,2
Solano, Donovan,Donovan Solano,SF,456781,2021,-0.187381557,-0.072381715,0.966768157,0.467840203,-0.213294895,0.010072783,-0.361658372,9
McCutchen, Andrew,Andrew McCutchen,PHI,457705,2021,1.205356261,1.560093258,0.201329653,0.745889185,-0.702738134,-0.68117192,1.121444866,2
Upton, Justin,Justin Upton,LAA,457708,2021,1.098119588,0.767862756,0.056160282,0.502596326,-0.702738134,0.14173844,0.43693568,2
Maybin, Cameron,Cameron Maybin,NYM,457727,2021,-1.143454263,0.359744013,-2.253352444,-2.090210432,-0.702738134,-1.273667379,1.349614595,8
Turner, Justin,Justin Turner,LAD,457759,2021,0.980610753,0.575806877,0.940373726,0.933572248,-0.702738134,0.701317485,-0.703912965,1
Posey III, Buster,Buster Posey III,SF,457763,2021,0.767308026,1.12796753,1.283501331,1.128206536,-0.702738134,0.898815971,-1.445464584,1
Bruce, Jay,Jay Bruce,NYY,457803,2021,0.089799194,1.248002454,-1.171180766,-0.706916746,-0.702738134,2.215472547,-2.015888906,7
Happ, J.A.,J.A. Happ,STL,457918,2021,-1.143454263,-0.216423625,-2.728452204,-2.340454516,-0.702738134,2.577553105,-2.301101067,4
Votto, Joey,Joey Votto,CIN,458015,2021,2.225970334,1.632114213,0.782007139,1.573084907,-0.702738134,0.635484656,-0.932082694,1
Gardner, Brett,Brett Gardner,NYY,458731,2021,-0.059975796,1.296016424,0.201329653,0.175888772,0.409632864,-1.372416622,1.064402434,2
Joyce, Matt,Matt Joyce,PHI,459964,2021,0.381295436,2.35232376,-1.527505587,-0.825087563,-0.702738134,0.240487683,-0.304615939,1
Butera, Drew,Drew Butera,LAA,460077,2021,-1.143454263,-1.824891613,-1.48791394,-1.471551447,1.132674011,0.010072783,-0.002291049,9
Romine, Andrew,Andrew Romine,CHC,461865,2021,-0.44461063,-0.312451564,-0.313361754,-0.48447756,-0.702738134,-0.549506262,0.493978112,9
Andrus, Elvis,Elvis Andrus,OAK,462101,2021,-0.890351959,-0.456493474,0.478471181,-0.116062659,0.346068807,-0.121592875,-0.019403778,9
Sandoval, Pablo,Pablo Sandoval,ATL,467055,2021,1.154113818,1.248002454,-0.379347832,0.036864281,-0.702738134,2.577553105,-2.301101067,7
Ramos, Wilson,Wilson Ramos,DET,467092,2021,1.078035367,-0.504507444,-0.023023011,0.419181631,-0.702738134,1.524227844,-1.730676745,7
Santana, Carlos,Carlos Santana,KC,467793,2021,0.266601906,1.320023409,0.095751929,0.036864281,-0.702738134,0.43798617,-1.046167558,9
Parra, Gerardo,Gerardo Parra,WSH,467827,2021,-0.278905444,-0.480500459,0.399287887,0.099425302,0.520869963,0.339236926,-0.418700804,9
Carrasco, Carlos,Carlos Carrasco,NYM,471911,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,1.74447806,0.010072783,-0.002291049,8
Anderson, Brett,Brett Anderson,MIL,474463,2021,-1.143454263,1.007932605,-2.728452204,-2.340454516,1.74447806,0.010072783,-0.002291049,8
Mercer, Jordy,Jordy Mercer,WSH,474568,2021,-0.432765818,-0.120395685,0.623640552,0.189791221,-0.702738134,-0.121592875,-0.133488643,9
Belt, Brandon,Brandon Belt,SF,474832,2021,2.598046948,1.199988484,0.887584863,1.809426542,-0.702738134,0.14173844,-0.646870533,1
Zimmerman, Ryan,Ryan Zimmerman,WSH,475582,2021,1.158618843,-0.408479504,0.478471181,0.933572248,-0.702738134,-0.154509289,-0.07644621,2
Lowrie, Jed,Jed Lowrie,OAK,476704,2021,0.141072288,0.479778937,0.504865612,0.426132856,-0.702738134,0.43798617,-0.875040262,9
Kershaw, Clayton,Clayton Kershaw,LAD,477132,2021,-1.143454263,-1.200710006,0.201329653,-0.797282665,1.74447806,2.347138204,-2.129973771,5
Avila, Alex,Alex Avila,WSH,488671,2021,-0.672323736,2.280302805,-0.207784029,0.078571628,1.74447806,1.49131143,-1.445464584,7
Brantley Jr., Michael,Michael Brantley Jr.,HOU,488726,2021,-0.428219868,-0.264437595,1.37588184,0.697230613,-0.702738134,0.273404098,-0.5898281,9
Castro, Jason,Jason Castro,HOU,488771,2021,1.107854032,1.536086273,0.372893456,0.738937961,1.74447806,-0.154509289,-0.07644621,9
Miley, Wade,Wade Miley,CIN,489119,2021,-1.143454263,-0.600535383,-0.286967323,-0.665209399,1.74447806,1.853391988,-1.730676745,7
Gurriel, Yuli,Yuli Gurriel,HOU,493329,2021,0.043261325,0.527792907,1.481459564,0.871011227,-0.702738134,-0.483673433,0.151723519,2
Campbell, Eric,Eric Campbell,SEA,493472,2021,-1.143454263,0.167688134,0.874387648,-0.442770213,-0.702738134,0.536735413,-0.5898281,9
Rojas, Miguel,Miguel Rojas,MIA,500743,2021,-0.381079414,-0.168409655,0.768809923,0.384425509,0.520869963,-0.022843632,-0.07644621,9
Escobar, Eduardo,Eduardo Escobar,ARI,500871,2021,0.995083566,0.095667179,0.610443336,0.940523473,-0.702738134,-0.747004748,0.379893247,2
Adrianza, Ehire,Ehire Adrianza,ATL,501303,2021,0.008485748,0.575806877,0.531260043,0.44698653,-0.090934086,-0.450757019,0.094681086,2
Lagares, Juan,Juan Lagares,LAA,501571,2021,-0.329267511,-0.936633172,0.386090672,0.245401018,1.255034821,-0.38492419,0.836232705,9
Almonte, Abraham,Abraham Almonte,ATL,501659,2021,0.273120649,1.752149137,0.12214636,0.433084081,-0.702738134,-0.549506262,0.608062976,2
Davis, Khris,Khris Davis,OAK,501981,2021,0.089799194,0.287723058,-0.009825796,0.182839997,-0.702738134,1.260896529,-0.646870533,9
Gibson, Kyle,Kyle Gibson,TEX,502043,2021,0.302429102,-1.824891613,-0.907236455,-0.665209399,1.74447806,1.162147286,-1.160252423,7
Pham, Tommy,Tommy Pham,SD,502054,2021,0.180670473,1.512079288,0.293710162,0.321864488,-0.702738134,-0.088676461,0.608062976,2
Martinez, J.D.,J.D. Martinez,BOS,502110,2021,0.91629535,0.263716073,1.04595145,1.260279802,-0.702738134,0.372153341,-0.361658372,1
Espino, Paolo,Paolo Espino,WSH,502179,2021,-1.143454263,-1.824891613,-0.524517203,-1.179600016,1.74447806,2.281305375,-2.072931338,5
Reddick, Josh,Josh Reddick,ARI,502210,2021,-0.588081855,-0.912626187,0.676429414,0.238449793,-0.702738134,-0.121592875,-0.247573507,9
Freeman, Mike,Mike Freeman,CIN,502273,2021,-1.143454263,0.023646224,-0.273770107,-1.047526749,-0.702738134,-0.648255505,0.608062976,9
Dyson, Jarrod,Jarrod Dyson,KC,502481,2021,-1.143454263,-0.216423625,0.00337142,-0.33155062,1.132674011,-1.010336063,0.608062976,9
Anderson, Chase,Chase Anderson,PHI,502624,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,1.74447806,0.010072783,-0.002291049,8
Goldschmidt, Paul,Paul Goldschmidt,STL,502671,2021,1.012182788,0.551799892,1.151529175,1.232474904,-0.702738134,0.075905611,-0.304615939,2
Gonzalez, Marwin,Marwin Gonzalez,BOS,503556,2021,-0.383841635,-0.264437595,-0.102206305,-0.227282252,0.520869963,-0.220342118,0.037638654,9
Darvish, Yu,Yu Darvish,SD,506433,2021,-1.143454263,-1.824891613,-1.48791394,-1.422892875,1.74447806,2.972550077,-2.586313228,5
Leon, Sandy,Sandy Leon,MIA,506702,2021,-0.313145021,-0.504507444,-0.313361754,-0.48447756,0.113000596,1.030481629,-1.730676745,9
Sanchez, Adrian,Adrian Sanchez,WSH,506703,2021,-1.143454263,0.071660194,0.663232199,-0.157770006,-0.702738134,0.372153341,-0.532785668,9
Altuve, Jose,Jose Altuve,HOU,514888,2021,1.019356278,0.503785922,0.940373726,1.05869429,-0.35313582,-1.142001721,0.722147841,2
Hernandez, Cesar,Cesar Hernandez,CLE,514917,2021,0.401357936,0.407757983,0.333301809,0.342718161,-0.702738134,-1.076168892,1.121444866,9
Segura, Jean,Jean Segura,PHI,516416,2021,-0.001375201,-0.168409655,1.098740313,0.690279389,-0.213294895,-0.779921163,0.322850815,9
Castro, Starlin,Starlin Castro,WSH,516770,2021,-0.744115032,-0.024367746,1.006359804,0.266254691,-0.702738134,0.14173844,-0.361658372,9
