"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5"
"Pujols"," Albert","Albert Pujols","LAD",405395,2021,-1.19786455629176,0.678801046164635,-1.51128581237804,0.652981995438847,-0.976412933368698
"Cabrera"," Miguel","Miguel Cabrera","DET",408234,2021,-2.042755037486,0.340035035472292,-1.95981870693983,-1.23886027977891,-0.605318146083479
"Rivera"," Rene","Rene Rivera","CLE",425784,2021,1.15439185383196,-1.57763196290868,-0.472833685469254,-0.687656892962261,1.77031612132447
"Wainwright"," Adam","Adam Wainwright","STL",425794,2021,5.36104630286258,0.456709053199026,-1.18206520232418,-1.28746540670399,0.222330648836644
"Molina"," Yadier","Yadier Molina","STL",425877,2021,-1.74746797565058,0.789604749867971,-1.66277044454216,0.330421468380827,-0.218483570443983
"Suzuki"," Kurt","Kurt Suzuki","LAA",435559,2021,-0.263639963633621,0.655939532313539,-0.919487811392078,1.67794643036711,-0.442898974736414
"Cruz Jr."," Nelson","Nelson Cruz Jr.","TB",443558,2021,-2.82323473922991,-0.971730236592998,-1.19947164087752,-1.31654862869856,-1.45322799216514
"Peralta"," David","David Peralta","ARI",444482,2021,-2.06327738856044,1.72160953429097,-0.852090451605028,-0.947952461754377,-1.2281148179376
"Pina"," Manny","Manny Pina","MIL",444489,2021,-1.18257854698786,-0.693290972469179,-1.17774997504199,1.29923419739746,-0.988331704198302
"Escobar"," Alcides","Alcides Escobar","WSH",444876,2021,-1.0220557558502,1.74682447472381,-0.128912563897559,0.25234085660232,0.834166526707519
"Jay"," Jon","Jon Jay","LAA",445055,2021,1.07929738206377,4.12685061987596,-0.744693243394373,0.771320015523589,0.868815897505164
"Longoria"," Evan","Evan Longoria","SF",446334,2021,-2.74988598145668,-0.744698426719239,-1.22136004107742,-0.808363722256082,0.229863067165198
"Lobaton"," Jose","Jose Lobaton","CHC",446653,2021,3.12266016787416,-1.6986814871649,-0.33220161924147,-0.624219682772156,1.01371621556103
"Hill"," Rich","Rich Hill","BOS",448179,2021,6.93738500586488,0.312428936853688,-0.45480618139218,-0.777779451006583,-0.171932127678547
"Morton"," Charlie","Charlie Morton","ATL",450203,2021,5.49111166353741,-0.443014079052435,-1.27011399525592,0.0275116534670419,0.930275442745736
"Fowler"," Dexter","Dexter Fowler","LAA",451594,2021,-0.918450856272787,-1.84806770995647,2.71371463276803,1.07853187358738,2.85784740944459
"Lester"," Jon","Jon Lester","STL",452657,2021,2.10087796722896,-0.521311116619332,-0.590981546244089,-1.02309694869426,2.26754612491692
"Cabrera"," Asdrubal","Asdrubal Cabrera","ARI",452678,2021,-1.25960597088733,0.263756148934524,-1.23638480842337,0.709753835901459,-0.768590031284256
"LeBlanc"," Wade","Wade LeBlanc","STL",453281,2021,6.07961994741599,3.78477546943843,-0.0807747661794913,3.42183789624121,-3.82640233373382
"Scherzer"," Max","Max Scherzer","NYM",453286,2021,6.73805327093723,0.561078674394483,-1.50204704503266,-1.23918954296261,-1.43318676485325
"Arrieta"," Jake","Jake Arrieta","SD",453562,2021,5.40333988939394,-2.79226021191356,0.215754483918673,-0.493403052736174,0.900101869639118
"Blackmon"," Charlie","Charlie Blackmon","COL",453568,2021,-2.79723309960833,1.54807145042258,-0.819573277292601,-0.70193319018597,-0.704039732697398
"Frazier"," Todd","Todd Frazier","PIT",453943,2021,1.66271977130153,0.481936260440861,-0.634221212386345,3.35563045087722,-1.90581776012681
"Maldonado"," Martin","Martin Maldonado","HOU",455117,2021,-0.79663525013777,-0.582796695269646,-1.68860067587642,0.440700594038938,-1.01287315210297
"Chirinos"," Robinson","Robinson Chirinos","CHC",455139,2021,-0.399359362644354,-2.07703627984449,-0.737254450222957,1.32156822660621,1.54241393788398
"Price"," David","David Price","LAD",456034,2021,2.61510474051417,1.63125043084991,-0.565014347792663,-0.522859564486915,1.11017179177138
"Cueto"," Johnny","Johnny Cueto","SF",456501,2021,5.47750888641067,2.23656536791739,3.00794675706175,0.209270780321055,-1.64275861226034
"Cain"," Lorenzo","Lorenzo Cain","MIL",456715,2021,-1.68680437963296,1.16361223562491,2.24977401827795,-0.614233277470863,-0.572532955565897
"Solano"," Donovan","Donovan Solano","SF",456781,2021,-2.14382890421457,1.1186295834293,-0.892874238129528,-0.152753801145375,0.835885456874528
"McCutchen"," Andrew","Andrew McCutchen","PHI",457705,2021,-2.80217906805878,-0.473866269153641,-0.14769587407699,-0.773702620517146,-1.12826779717974
