,PC1,PC2,PC3,PC4,PC5,
AB,-0.25,0.11,-0.07,-0.25,-0.32,
PA,-0.25,0.11,-0.07,-0.25,-0.32,
BB.,-0.17,-0.12,-0.04,-0.01,-0.02,
AVG,-0.3,0.13,-0.02,-0.07,0.21,
SLG,-0.3,-0.05,-0.03,-0.11,0.06,
OBP,-0.31,0.04,-0.01,-0.04,0.14,
CSSB.,-0.06,0.06,0.63,-0.07,-0.02,
SB.,-0.06,0.06,0.62,-0.08,-0.04,
HBP.,-0.06,-0.11,0.11,0.13,-0.07,
SacBunt.,0.21,0.12,0.03,-0.08,0.17,
SacFly.,-0.23,0.04,-0.11,-0.13,-0.32,
SweetSpot.,-0.23,-0.15,0,0.03,0.4,
Barrel.,-0.2,-0.31,-0.07,-0.2,-0.14,
SolidContact.,-0.16,-0.24,-0.01,-0.04,0.18,
Flare.Burner.,-0.2,0.14,-0.03,0.03,0.45,
Under.,-0.14,-0.22,0.06,0.5,-0.17,
Topped.,0.14,0.3,0.02,-0.21,-0.2,
Poor.Weak.,0.26,0.04,-0.01,-0.13,0.04,
HardHit.,-0.24,-0.2,-0.06,-0.21,0.01,
OutofZoneContact.,-0.19,0.37,-0.07,0.19,0.05,
InZoneContact.,-0.22,0.32,-0.01,0.26,-0.05,
Whiff.,0.15,-0.48,0.06,-0.23,0.01,
StraightAway.,0.05,0.19,-0.03,-0.19,0.03,
Popup.,-0.06,-0.15,0.03,0.47,-0.31,
SprintSpeed,-0.15,-0.04,0.4,-0.04,-0.01,
