"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Pujols"," Albert","Albert Pujols","LAD",405395,2021,-1.4746490517172,-3.73805338860397,0.463729449099369,-1.51297943118317,-0.819247771819275,-3.19414561252016,0.342539843239829,0.0326209075102626,-2.1519032036959
"Cabrera"," Miguel","Miguel Cabrera","DET",408234,2021,-1.41064659830152,-3.17165226424289,-0.285178560610073,-1.05359141594422,0.0743448793408588,-2.07528380156945,1.02903196088045,0.204620114108959,-0.689322006880958
"Rivera"," Rene","Rene Rivera","CLE",425784,2021,0.216302606134769,-1.85029029066343,-0.0644540571333701,-0.407799951298091,0.758241916946589,-1.56618403254395,1.23433990567009,-2.48510041604294,-0.378297548025691
"Wainwright"," Adam","Adam Wainwright","STL",425794,2021,6.11814921525006,-2.83319487195812,2.34543136718821,0.633462469647334,0.74639071006265,-2.53687344325668,0.940918350791669,-0.801146376803189,0.398144084847369
"Molina"," Yadier","Yadier Molina","STL",425877,2021,-1.26993802522594,-2.88355700263249,-0.277136306619113,-1.02702973123449,1.15026078105803,-3.2776902876316,-0.041725065137841,1.50704017602465,-0.803023859814165
"Suzuki"," Kurt","Kurt Suzuki","LAA",435559,2021,0.623769303697168,-1.72414718971907,-1.54248222047367,0.110639315678106,0.186673360606284,-2.61913302274852,-0.293350237041869,-1.44587852531396,-1.32177054730908
"Cruz Jr."," Nelson","Nelson Cruz Jr.","TB",443558,2021,-3.56020687063492,-2.8998810235399,2.33750904822125,-1.32695300814876,-0.767305218409905,-2.70617825075565,-0.938183014978951,1.2547083500335,-0.0360492378344006
"Peralta"," David","David Peralta","ARI",444482,2021,-1.40800712706343,-0.517079045104751,0.29432017749151,-2.12176179799384,0.246882043242507,-0.70931588049744,-1.0354778869789,1.01796452141524,0.222342293103948
"Pina"," Manny","Manny Pina","MIL",444489,2021,-1.55057268430514,-2.43072750132745,-0.213877155350993,0.972095647791632,-1.09645223733724,-1.2950451978309,0.0543969105272092,-0.343662401936938,-1.16980883363159
"Escobar"," Alcides","Alcides Escobar","WSH",444876,2021,-0.22323887057294,0.337157730974387,-0.15100827952504,-0.567733386517347,2.11794592077169,-1.29459822752055,-0.878683367724039,-0.357561985731149,-0.338691312129525
"Jay"," Jon","Jon Jay","LAA",445055,2021,1.96413888071924,-0.119895051634704,-1.19393020818209,-3.4220533865993,0.871279917771083,-0.00626660060370211,0.247912706317052,0.525451299797276,-1.88432870503789
"Longoria"," Evan","Evan Longoria","SF",446334,2021,-3.29977102589831,-2.30708032246654,0.476785950219952,-0.346405488872947,-0.315973158705048,-1.00159804212416,0.909038296881532,0.162131816883714,-0.118757162948413
"Lobaton"," Jose","Jose Lobaton","CHC",446653,2021,2.59394086798267,-0.0360905969357071,-2.45298411922866,-1.26586263212643,0.291402868064719,-0.588362650098556,0.62725395324692,1.44971814999842,0.958184912251096
"Hill"," Rich","Rich Hill","BOS",448179,2021,6.79287512851713,-1.63771443393829,1.13632813488682,-1.32110713930356,-0.0398481799840119,-2.85999138793512,0.0540522996077331,-2.03027547776322,0.475352655882032
"Morton"," Charlie","Charlie Morton","ATL",450203,2021,6.28332469480936,-2.86917387758931,0.549714329204515,0.650596300867883,2.26196633497706,-2.13041294015544,1.38850035641399,0.725022747267838,-1.4196587341408
"Fowler"," Dexter","Dexter Fowler","LAA",451594,2021,-0.913273691984635,2.08981933406823,-1.32465408149603,1.66379751564029,1.78708715372141,-1.61296225296852,3.39487231224806,1.67178796769004,-0.121140108562556
"Lester"," Jon","Jon Lester","STL",452657,2021,1.51033016867646,-0.677629818635498,0.558035793576333,0.443322741390872,2.26997288509052,-0.0708479125470493,1.13260259929996,0.0149773779367215,-0.634854694407638
"Cabrera"," Asdrubal","Asdrubal Cabrera","ARI",452678,2021,-0.862588852834141,-1.89041925446608,-0.641094178450464,-0.676488790262252,0.40039513952103,-2.01212841716347,-0.414057257939003,1.06681579230584,-0.170391718430698
"LeBlanc"," Wade","Wade LeBlanc","STL",453281,2021,8.23736435359679,0.237818107449784,1.05433668737998,-0.407421115667059,-2.00919062621888,-0.939138875886469,-1.37987959449319,1.09586119667098,-0.492654021698753
"Scherzer"," Max","Max Scherzer","NYM",453286,2021,7.19504330911059,-3.11246197596997,-0.614324742416776,-0.728371577015693,-2.0310277643021,-1.84839656086987,2.04423968103152,1.3554454570914,-1.69393035620598
